#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_101387	453	2372	+	tet(32)	1-1920/1920	===============	0/0	100.00	98.96	ncbi	NG_048125.1	tetracycline resistance ribosomal protection protein Tet(32)	TETRACYCLINE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_120957	1230	1724	+	lnu(C)	1-495/495	===============	0/0	100.00	91.92	ncbi	NG_047924.1	lincosamide nucleotidyltransferase Lnu(C)	LINCOSAMIDE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_131956	166	2124	-	tetB(P)	1-1959/1959	===============	0/0	100.00	98.52	ncbi	NG_048319.1	tetracycline resistance ribosomal protection protein TetB(P)	TETRACYCLINE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_131956	2108	3370	-	tetA(P)	1-1263/1263	===============	0/0	100.00	100.00	ncbi	NG_048316.1	tetracycline efflux MFS transporter TetA(P)	TETRACYCLINE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_133546	210	1131	+	mph(A)	1-921/921	========/======	1/1	100.00	99.57	ncbi	NG_047986.1	Mph(A) family macrolide 2'-phosphotransferase	MACROLIDE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_133546	5326	6165	-	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_180015	422	1315	-	cfxA2	73-966/966	.==============	0/0	92.55	93.18	ncbi	NG_047639.1	class A extended-spectrum beta-lactamase CfxA2	BETA-LACTAM
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_186649	1469	2668	+	tet(A)	1-1200/1200	===============	0/0	100.00	99.92	ncbi	NG_048154.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_200947	1	1744	+	tet(Q)	183-1926/1926	.==============	0/0	90.55	97.53	ncbi	NG_048270.1	tetracycline resistance ribosomal protection protein Tet(Q)	TETRACYCLINE
../metagenome_analysis_results/Ug_ERR1950667/results/01.Ug_ERR1950667.fasta	megahit_207567	176	649	-	dfrA1	1-474/474	===============	0/0	100.00	99.79	ncbi	NG_047677.1	trimethoprim-resistant dihydrofolate reductase DfrA1	TRIMETHOPRIM
